cell_id,longitude,latitude,stress_score,urbanization_component,vegetation_component,water_component,evidence_strength,stress_quartile,rank,mandal,nearest_place,nearest_place_distance_km
C_048_161,79.656176,13.346405,0.5153,0.2912,0.5225,0.7322,High (Multi-Source Convergence),Q4: Higher Relative Stress,108,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_046_044,78.599039,13.364371,0.5152,0.4615,0.8741,0.2099,High (Multi-Source Convergence),Q4: Higher Relative Stress,109,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_051_033,78.500224,13.319455,0.5149,0.4817,0.9819,0.0812,High (Multi-Source Convergence),Q4: Higher Relative Stress,110,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_066_059,78.733786,13.184708,0.5146,0.5278,0.7205,0.2954,High (Multi-Source Convergence),Q4: Higher Relative Stress,111,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
C_044_037,78.536157,13.382338,0.5145,0.4221,0.9253,0.1962,High (Multi-Source Convergence),Q4: Higher Relative Stress,112,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_058_056,78.706837,13.256573,0.5143,0.5592,0.8559,0.1277,High (Multi-Source Convergence),Q4: Higher Relative Stress,113,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
C_040_058,78.724803,13.41827,0.5137,0.5705,0.9064,0.0642,High (Multi-Source Convergence),Q4: Higher Relative Stress,114,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
C_046_164,79.683126,13.364371,0.5128,0.187,0.3513,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,115,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_119_017,78.356494,12.708601,0.5115,0.594,0.2865,0.654,High (Multi-Source Convergence),Q4: Higher Relative Stress,116,Kuppam,N/A (Requires Authoritative Settlement Gazetteer),
C_046_046,78.617005,13.364371,0.5115,0.6118,0.7701,0.1526,High (Multi-Source Convergence),Q4: Higher Relative Stress,117,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_052_168,79.719059,13.310472,0.5112,0.2946,0.5857,0.6533,High (Multi-Source Convergence),Q4: Higher Relative Stress,118,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_051_163,79.674143,13.319455,0.511,0.154,0.3791,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,119,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_046_163,79.674143,13.364371,0.5106,0.2649,0.4361,0.8308,High (Multi-Source Convergence),Q4: Higher Relative Stress,120,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_035_063,78.769719,13.463186,0.5104,0.3073,0.661,0.5629,High (Multi-Source Convergence),Q4: Higher Relative Stress,121,Somala,N/A (Requires Authoritative Settlement Gazetteer),
C_033_042,78.581073,13.481152,0.5101,0.4604,1.0,0.0701,High (Multi-Source Convergence),Q4: Higher Relative Stress,122,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_055_048,78.634972,13.283523,0.5097,0.4587,1.0,0.0704,High (Multi-Source Convergence),Q4: Higher Relative Stress,123,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
C_047_169,79.728042,13.355388,0.5093,0.2332,0.5444,0.7504,High (Multi-Source Convergence),Q4: Higher Relative Stress,124,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_049_163,79.674143,13.337422,0.5091,0.1865,0.3406,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,125,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_055_054,78.688871,13.283523,0.5083,0.4919,0.9558,0.0773,High (Multi-Source Convergence),Q4: Higher Relative Stress,126,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
C_042_166,79.701092,13.400304,0.5076,0.1997,0.3231,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,127,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_117_006,78.257679,12.726567,0.5076,0.5,1.0,0.0229,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,128,Gudupalle,N/A (Requires Authoritative Settlement Gazetteer),
C_061_117,79.254809,13.229624,0.5076,0.5354,0.7777,0.2096,High (Multi-Source Convergence),Q4: Higher Relative Stress,129,Gangadhara Nellore,N/A (Requires Authoritative Settlement Gazetteer),
C_046_102,79.120062,13.364371,0.5075,0.1876,0.7337,0.6012,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,130,Puthalapattu,N/A (Requires Authoritative Settlement Gazetteer),
C_055_052,78.670904,13.283523,0.5061,0.581,0.75,0.1873,High (Multi-Source Convergence),Q4: Higher Relative Stress,131,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
C_044_088,78.994298,13.382338,0.5059,0.5913,0.5909,0.3357,High (Multi-Source Convergence),Q4: Higher Relative Stress,132,Irala,N/A (Requires Authoritative Settlement Gazetteer),
C_039_054,78.688871,13.427253,0.5042,0.4758,0.8428,0.1942,High (Multi-Source Convergence),Q4: Higher Relative Stress,133,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
C_115_005,78.248696,12.744534,0.5041,0.5,1.0,0.0124,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,134,Gudupalle,N/A (Requires Authoritative Settlement Gazetteer),
C_084_049,78.643955,13.023011,0.5039,0.5,1.0,0.0118,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,135,Baireddipalle,N/A (Requires Authoritative Settlement Gazetteer),
C_055_159,79.63821,13.283523,0.5038,0.2186,0.7053,0.5873,High (Multi-Source Convergence),Q4: Higher Relative Stress,136,Nagari,N/A (Requires Authoritative Settlement Gazetteer),
C_092_033,78.500224,12.951146,0.5036,0.6525,0.7067,0.1516,High (Multi-Source Convergence),Q4: Higher Relative Stress,137,Venkatagirikota,N/A (Requires Authoritative Settlement Gazetteer),
C_066_072,78.850567,13.184708,0.5031,0.4589,0.7738,0.2764,High (Multi-Source Convergence),Q4: Higher Relative Stress,138,Bangarupalem,N/A (Requires Authoritative Settlement Gazetteer),
C_057_058,78.724803,13.265557,0.5029,0.6039,0.7539,0.151,High (Multi-Source Convergence),Q4: Higher Relative Stress,139,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
C_067_058,78.724803,13.175725,0.5027,0.4906,0.7866,0.2309,High (Multi-Source Convergence),Q4: Higher Relative Stress,140,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
C_056_051,78.661921,13.27454,0.5026,0.6598,0.724,0.1241,High (Multi-Source Convergence),Q4: Higher Relative Stress,141,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
C_044_052,78.670904,13.382338,0.5021,0.5082,0.8033,0.1948,High (Multi-Source Convergence),Q4: Higher Relative Stress,142,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
